Network,score,WCut,nWCut,graph ratio,nGraph,leak + skip,nls,Baseline,RE,PFL,NFL,ACDC1,ACDC2,ACDC3,Strict Verd,Reinitz,Ultra Strong
2135,0.23694916297903326,0.1880844326839564,0.3279370950573587,0.06694692295824008,0.25261537786868826,0.9580505957140842,0.13029501601105287,True,3,3,3,False,False,False,False,False,False
2216,0.2343426383532122,0.06188955287014218,0.09896505744379167,0.14435161243716402,0.5815074010195601,0.9927380439753326,0.022555456596284773,True,5,5,1,False,False,False,False,False,False
2272,0.5706212890705948,0.19242027241702378,0.33580418174036075,0.12467551168745677,0.4979037766544803,0.7172719423881686,0.8781559088169435,True,5,3,3,False,False,False,False,False,False
2334,0.12737485354750464,0.04759228374376266,0.07302363375840454,0.07400728751557667,0.2826148210429602,0.9914725460184544,0.026486105841149188,True,4,1,4,False,False,False,False,False,False
2359,0.11952153938404708,0.0642035622240911,0.10316367023705443,0.05591507975909347,0.20574114772481,0.9840116251819138,0.049659800190276826,True,3,2,3,False,False,False,False,False,False
2379,0.3588498790705059,0.061014515134540315,0.09737736090962856,0.12399930196053578,0.4950305659141685,0.8441273629639604,0.4841417103877206,True,4,1,4,False,False,False,False,False,False
2450,0.20576747385049496,0.061165076692832526,0.09765054463023042,0.11814539552741517,0.4701573554783955,0.9840648377440486,0.04949452144285893,True,5,2,3,False,False,False,False,False,False
2556,0.17721914958946847,0.05091399575157177,0.07905065456872305,0.0752888195141601,0.2880600421863309,0.947023027689012,0.16454675201335134,True,2,3,2,False,False,False,False,False,False
2611,0.2625459397326963,0.0657753447852607,0.10601556293069982,0.10333093789895384,0.40721082117785834,0.9116513821147769,0.2744114350895307,True,4,2,4,False,False,False,False,False,False
2664,0.21470046834149795,0.07160246551535218,0.11658847768728763,0.10570979873397451,0.41731858542433015,0.9645221377974571,0.11019434191287614,True,5,1,5,False,False,False,False,False,False
2792,0.32223266643190623,0.20797933573186195,0.364035045273122,0.10851241357050166,0.42922687767255424,0.9441610522021867,0.17343607635004232,True,4,3,3,False,False,False,False,False,False
2828,0.3895902203211696,0.2441074616735,0.42958707578514665,0.16241303304438656,0.6582502599403456,0.9739429114435909,0.08093332523801655,True,6,4,2,False,False,False,False,False,False
2862,0.15631518478861298,0.06639718368543708,0.10714384737655717,0.07962137146682781,0.30646902730999237,0.9821852049251734,0.05533267967928934,True,4,3,3,False,False,False,False,False,False
2879,0.2761389139020743,0.07952403779850067,0.1309616325209207,0.1368159169816296,0.5494882799442875,0.9523610411027005,0.14796682924101479,True,2,2,4,False,False,False,False,False,False
2888,0.5316670136938927,0.19835906396327982,0.3465797156076201,0.1653218282953055,0.670609712080088,0.8139697316183837,0.5778116133939701,False,6,6,0,False,False,False,False,False,True
2895,0.26408436668964985,0.18735366362337116,0.32661116423453906,0.08198035109518632,0.31649231643840847,0.9519802341592909,0.14914961939600202,True,3,3,3,False,False,False,False,False,False
2920,0.43466743418353365,0.20941275361287606,0.3666358846530696,0.10596244634769068,0.4183920834950378,0.8329127742847502,0.5189743344024935,True,5,5,1,False,False,False,False,False,False
2979,0.25056175471165687,0.09724585355653684,0.16311666345653844,0.10287658301826678,0.4052802702391025,0.9409890552510651,0.18328833043932968,True,4,2,4,False,False,False,False,False,False
3050,0.30419006614968574,0.10356237521624104,0.17457756295726745,0.09034402173319542,0.3520294986895089,0.875736589974975,0.3859631368022809,True,3,3,3,False,False,False,False,False,False
3074,0.1448714191709694,0.07413213661387225,0.12117839406721419,0.06743605622478849,0.25469370194321744,0.9810875001918156,0.058742161502476575,False,7,2,3,False,False,True,False,False,False
3104,0.1697131663625783,0.052717042271785176,0.08232216000740983,0.09575881068113257,0.3750369017811127,0.983328872343526,0.051780437299212334,False,7,2,3,False,False,True,False,False,False
3116,0.20931936688797162,0.03478265035919318,0.04978142407862183,0.11480335055886368,0.45595702810071925,0.9606505125393141,0.12221964848457378,True,5,2,3,False,False,False,False,False,False
3122,0.24203960028216268,0.2156046100452309,0.3778705875666799,0.08142370672120305,0.314127138106613,0.9890144182414323,0.03412107517319507,True,5,2,3,False,False,False,False,False,False
3124,0.3074305309954869,0.08444817518960747,0.13989614534421713,0.12157167418025357,0.48471559123383373,0.9041599633174126,0.2976798564084099,True,5,2,3,False,False,False,False,False,False
3136,0.1817680444599359,0.09896953145493126,0.16624415992206173,0.07909745694213907,0.30424291789539515,0.9759120840397935,0.07481705556235085,False,7,2,3,False,False,True,False,False,True
3138,0.13781610386777932,0.059327885210461145,0.09431708547701036,0.05917667686403833,0.21959965265222045,0.9679550850876683,0.09953157347410713,True,6,3,2,False,False,True,False,False,False
3235,0.18774515602189903,0.09573931102383665,0.16038314436311082,0.08745772208512587,0.33976563022025136,0.9796887500104591,0.06308669348233498,True,4,3,2,False,False,False,False,False,False
3377,0.17233211668641066,0.028068863176093403,0.03759971327001955,0.10955363200080404,0.4336510080242091,0.9852718179981582,0.04574562876500332,True,5,0,5,False,False,False,False,False,False
3412,0.1274602421271813,0.09426759671901243,0.15771281872345086,0.06035219114324062,0.22459440519411714,0.9999762545732992,7.35024639758608e-05,True,5,2,3,False,False,False,False,False,False
3503,0.20687606185605178,0.0902599132772606,0.15044114934096917,0.07340422772040442,0.280052423887822,0.9387848504958263,0.19013461233936424,True,2,1,4,False,False,False,False,False,False
3571,0.3584289132782255,0.18953624685295634,0.3305713132522856,0.1317660098089475,0.5280312571472419,0.9302370488051424,0.21668416943514912,True,2,1,4,False,False,False,False,False,False
3606,0.27797900323063773,0.07031383303545317,0.11425034158309047,0.14240209731540912,0.5732239239218092,0.9528452910177232,0.14646274418701355,True,5,2,3,False,False,False,False,False,False
3682,0.34083738037247074,0.08334005113217605,0.13788552951152222,0.11644731152450875,0.4629422075725559,0.8642358968624919,0.4216844040333343,True,5,2,3,False,False,False,False,False,False
3723,0.1275536014311209,0.09495700991500153,0.1589637121390649,0.03804022222850068,0.12979099410561631,0.9697662432994182,0.09390609804868144,True,4,1,4,False,False,False,False,False,False
3816,0.2878718004163053,0.06515559559358788,0.10489107011897837,0.07564070506835137,0.2895552016219494,0.8489478822553349,0.46916912950798806,True,4,3,2,False,False,False,False,False,False
3868,0.13953495485903847,0.015566665517478043,0.014915324832356807,0.06478946091825373,0.2434483356651856,0.9484092267044945,0.16024120407957299,True,5,4,1,False,False,False,False,False,False
3879,0.11718861121728978,0.05605506917700909,0.08837878309089535,0.06529311550678242,0.24558836074254894,0.9943339071112507,0.01759868981842505,True,4,3,2,False,False,False,False,False,False
3897,0.13519048269331585,0.029910224517595636,0.04094073834939415,0.07464808750527228,0.2853375760396511,0.9744709817247217,0.0792931336909023,True,4,1,4,False,False,False,False,False,False
4016,0.21977319448309152,0.04964506433703221,0.07674826470942242,0.1312883297996383,0.5260015978883773,0.9817869315157562,0.056569720851474825,True,5,4,1,False,False,False,False,False,False
4047,0.15340065051659033,0.05591211451094163,0.08811940155953586,0.07595789657640824,0.2909029462807469,0.9738636204962041,0.08117960370948818,True,2,3,2,False,False,False,False,False,False
4087,0.20661550639273796,0.07433928584151493,0.12155425227012545,0.09780494532964258,0.3837309146208747,0.963116150551556,0.11456135228721376,True,1,4,1,False,False,False,False,False,False
4094,0.16761622009863644,0.042781628497557,0.06429502657873726,0.09118991627457373,0.3556236991050011,0.973300090136913,0.08292993461217102,True,1,4,1,False,False,False,False,False,False
4147,0.22326483992890309,0.05101062503260047,0.07922598183558935,0.10858854098100688,0.4295503425456369,0.9481590693197479,0.161018195405483,True,4,1,5,False,False,False,False,False,False
4242,0.19576296874637364,0.04527320434168094,0.06881582170718867,0.08382162786841107,0.3243158894958456,0.937489753969285,0.19415719503608664,True,5,2,4,False,False,False,False,False,False
4264,0.24394934329255333,0.11915822848684375,0.2028751793657995,0.10024800887626022,0.3941114757721729,0.9565804269756728,0.1348613747396875,True,5,5,1,False,False,False,False,False,False
4386,0.36375867804733947,0.25902984629741255,0.4566627290797314,0.11334329170996396,0.44975324752919826,0.9404830275436779,0.18486005753308876,False,6,3,2,False,False,False,True,False,False
4388,0.3032433467502278,0.041537332558020716,0.06203733611546126,0.1385438852800525,0.5568304060277933,0.9063549203240857,0.2908622981074288,True,6,3,2,False,False,False,False,False,False
4393,0.13706105270679603,0.061104795903968945,0.09754116923342025,0.07179740954819783,0.2732250639042062,0.9869874286591824,0.040416924982761615,True,5,4,1,False,False,False,False,False,False
4404,0.25741826598053724,0.039453165981194104,0.058255757429177324,0.1473830659137308,0.5943880271638877,0.9614903795000195,0.11961101334854662,True,5,2,3,False,False,False,False,False,False
4483,0.1387911451240183,0.03493619166438893,0.05006001434758034,0.08317137333796963,0.3215529622168965,0.9855889998403,0.04476045880757806,True,5,0,5,False,False,False,False,False,False
4499,0.12246130493536354,0.03404723410025598,0.04844706123005431,0.082357458324011,0.31809464260582676,0.9997287638959398,0.0008422109702095337,True,4,1,4,False,False,False,False,False,False
4554,0.3380540590576506,0.2380746372089363,0.41864092557482,0.03804022222850068,0.12979099410561631,0.8500550493512624,0.4657302574925155,True,4,1,4,False,False,False,False,False,False
4591,0.2746938027729919,0.06455221444196245,0.103796276004121,0.13484341552366605,0.5411071340531937,0.9423124032907628,0.17917799826166103,True,1,4,1,False,False,False,False,False,False
4700,0.22300706037334583,0.11179581262693508,0.18951657588134027,0.09172160692765335,0.3578828492386552,0.960843007893255,0.12162175600004199,True,4,3,2,False,False,False,False,False,False
4737,0.2511874928599321,0.12332092917030052,0.2104281170037824,0.12052150919864017,0.48025344704373174,0.9797550018748808,0.06288091453228217,True,6,5,0,False,False,False,False,False,False
4783,0.23291249028896077,0.08800779851569306,0.14635484008138172,0.06257036011614495,0.2340193907615308,0.8975008141346107,0.31836324002396976,True,2,1,4,False,False,False,False,False,False
5061,0.17654209089961284,0.09490441156393695,0.15886827600381012,0.05416394410134266,0.1983005836819026,0.9444761391957559,0.1724574130131259,True,4,1,4,False,False,False,False,False,False
5121,0.2361461211951845,0.11714470265323207,0.1992217735097946,0.12061940615103249,0.4806694105589834,0.990808970012814,0.028547179516775434,True,7,4,2,False,False,False,False,False,False
5171,0.16774927017237962,0.0501685129010329,0.07769802657346925,0.09364949551282938,0.36607443532286343,0.9808514458551261,0.05947534862080617,True,4,2,4,False,False,False,False,False,False
5239,0.2500495753730959,0.0952261975815414,0.15945213487538362,0.10235753000064134,0.4030748173364605,0.9395938750878108,0.1876217739074436,True,2,2,4,False,False,False,False,False,False
5276,0.18112748167046988,0.070075692303058,0.11381825139990905,0.08155312954876273,0.3146770548608117,0.9630112614917028,0.1148871387506889,True,4,4,2,False,False,False,False,False,False
5411,0.17653660425151071,0.058498286881262754,0.09281183565928698,0.08089741449969956,0.3118909258736839,0.9597852858398292,0.12490705122156132,True,5,2,3,False,False,False,False,False,False
5458,0.10292556266826441,0.059820673995792384,0.09521121725523213,0.056583026256870936,0.20857924805812877,0.998394572509278,0.00498622269143234,True,5,4,1,False,False,False,False,False,False
5541,0.1561259904792672,0.06437749450792118,0.10347925855168426,0.06884959716440837,0.2606998282201629,0.9664524140505324,0.1041988846659544,True,4,1,4,False,False,False,False,False,False
5546,0.23423671583666184,0.11234478327152264,0.19051264582702032,0.09550501229872736,0.37395851410171516,0.9554929826671511,0.13823898758124997,True,4,3,2,False,False,False,False,False,False
5561,0.2172405283807035,0.1392789460018295,0.23938285459359387,0.09775354336826805,0.38351250802065195,0.9907191303099008,0.02882622252786471,True,3,2,3,False,False,False,False,False,False
5572,0.1379311526219258,0.05563997671972373,0.08762562602237658,0.04965192539944244,0.17912904550569692,0.9526598305201408,0.14703878633770384,True,5,2,3,False,False,False,False,False,False
5651,0.2215269635338575,0.0304265638825851,0.04187760105472866,0.1382438515935485,0.5555555648414,0.978381274732074,0.06714772470544383,True,5,4,2,False,False,False,False,False,False
5750,0.2378903097938753,0.08173783897906156,0.13497842439022803,0.10270680958007376,0.4045589040022444,0.9439364796314287,0.17413360098915343,True,3,1,5,False,False,False,False,False,False
5775,0.08473887504108522,0.024084325722834844,0.030370040711463705,0.0522456132265554,0.1901496082470957,0.9891509596612679,0.033696976164696246,True,3,2,4,False,False,False,False,False,False
5924,0.18653736872898077,0.05042759105692375,0.07816810628940556,0.0759989145940776,0.2910772315715701,0.9387101063738199,0.19036676832596666,True,6,1,4,False,False,False,False,False,False
5975,0.07375402342495006,0.05257317575390985,0.08206112398288265,0.040231039634491365,0.13909976304275692,0.9999673425653898,0.00010118324921060129,True,3,4,1,False,False,False,False,False,False
6040,0.11522667024383497,0.026308557385330052,0.034405757981748615,0.0566637641926668,0.20892230302324374,0.9670470467045156,0.10235194972651251,True,5,2,3,False,False,False,False,False,False
6161,0.23063041472091958,0.06456357734874117,0.10381689322664363,0.08824906367041198,0.34312803547941895,0.9211378680288389,0.2449463154566962,False,6,1,4,True,False,False,False,False,False
6168,0.2690171215490658,0.015329989224526358,0.014485891775073286,0.1297634094025842,0.5195222210197741,0.9120918775605482,0.2730432518523501,True,6,5,0,False,False,False,False,False,True
6199,0.15044662413898294,0.04630677935015461,0.07069117335430652,0.06507577478830874,0.24466488144054443,0.9562190492271345,0.13598381762209788,True,3,2,3,False,False,False,False,False,False
6224,0.23259032633059787,0.04125944698478527,0.0615331316182502,0.09421829792152688,0.3684912730652401,0.9137971771669661,0.2677465743083034,False,6,3,2,True,False,False,False,False,False
6296,0.2576427284874896,0.01756904870646678,0.018548513116559397,0.11063236260797929,0.4382345273718998,0.8982149441876939,0.3161451449740096,False,5,2,3,False,False,False,False,False,True
6420,0.04525564068291271,0.022964459674791042,0.02833811983437933,0.013027131176862458,0.023510532590810596,0.9729818892851725,0.0839182696235482,False,6,4,2,False,False,False,False,False,True
6465,0.21202105654044442,0.05804718327922286,0.09199333881467422,0.11954576178860488,0.47610750263220986,0.978119007874496,0.06796232817444914,True,6,4,2,True,False,False,False,False,False
6513,0.1196416724691723,0.02220380053746355,0.026957955497599412,0.07020736499938715,0.2664689749375196,0.9789123862738852,0.0654980869723979,True,4,1,5,False,False,False,False,False,False
